model,learning_rate,optimizer,dropout,batch_size,best_epoch,training_time,num_parameters,train_accuracy,dev_accuracy,train_loss,dev_loss,accuracy_diff_pct,loss_diff_pct,timestamp
CNN_32_64_Dropout_Gridsearch_Relu,0.01,Adam,0.2,64,11,931.2594842910767,281024,0.32050769316225075,0.3106,1.9913208507957554,2.010794924774658,3.091249718375773,0.9779475754055645,2026-01-09 02:28:28
CNN_32_64_128_Dropout_Gridsearch_Tanh,0.005,Adam,0.1,64,6,792.6720943450928,617024,0.20195522968394156,0.19446666666666668,2.931628916893317,2.9480750748851916,3.7080312448429416,0.5609904410856551,2026-01-09 12:19:47
CNN_64_Dropout_Gridsearch_Tanh,0.001,Adam,0.1,64,14,892.0262036323547,262848,0.3287174359828917,0.31583333333333335,2.0959327428568906,2.140897145149296,3.9195069196843333,2.145317040618204,2026-01-09 08:19:23
CNN_32_64_128_Dropout_Gridsearch_Relu,0.01,Adam,0.2,64,13,1284.6468861103058,617024,0.32470143864911405,0.3111,1.9943024877378028,2.0364862647392092,4.188906185849193,2.1152145805753237,2026-01-09 05:38:27
CNN_32_Dropout_Gridsearch_Tanh,0.001,Adam,0.1,64,17,828.7103810310364,131456,0.3425151363661612,0.32813333333333333,2.032799267065385,2.0902915069543475,4.198881014546815,2.828230057951566,2026-01-09 07:21:36
CNN_64_128_Dropout_Gridsearch_Tanh,0.001,Adam,0.1,64,20,1067.277105808258,598848,0.3309392878964617,0.3169666666666667,2.0859795092604063,2.145699141630486,4.2221101394786755,2.862905992362964,2026-01-09 10:42:31
CNN_32_64_Dropout_Gridsearch_Tanh,0.001,Adam,0.1,64,10,854.460747718811,281024,0.3471088151974671,0.3306,1.9894455878962582,2.0519286993978376,4.756092174747964,3.1407298536700474,2026-01-09 09:22:21
CNN_32_64_Dropout_Gridsearch_Relu,0.005,Adam,0.1,64,14,1195.6368522644043,281024,0.38314169860578795,0.3636333333333333,1.726165386437946,1.7710373394016519,5.09168418458328,2.5995164377790014,2026-01-09 01:27:37
CNN_64_128_Dropout_Gridsearch_Relu,0.005,Adam,0.1,128,19,573.7346093654633,598848,0.36521690829306225,0.34613333333333335,1.7972426899968943,1.8571848975851182,5.225271482889725,3.335231681388976,2026-01-09 18:03:04
CNN_64_128_Dropout_Gridsearch_Relu,0.005,Adam,0.2,64,18,1094.4192082881927,598848,0.3881908570793757,0.3667666666666667,1.715237259822429,1.7681352070399694,5.518983773574105,3.084001756294442,2026-01-09 03:44:54
