timestamp,model_name,optimizer,learning_rate,best_epoch,epochs_completed,best_dev_accuracy,best_dev_loss,total_training_time_sec
2026-01-08 00:37:04,MLP_256_Dropout_Gridsearch_Relu,Adam,0.001,19,20,0.3183666666666667,2.1756897134983793,527.87
2026-01-08 00:45:54,MLP_256_Dropout_Gridsearch_Relu,Adam,0.005,19,20,0.29586666666666667,2.2410671386312933,530.34
2026-01-08 00:54:43,MLP_256_Dropout_Gridsearch_Relu,Adam,0.01,20,20,0.2343,2.5817421953728856,528.71
2026-01-08 00:58:44,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.001,11,17,0.2845,3.842715680217946,1377.31
2026-01-08 01:06:41,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.30673333333333336,2.275453233718872,718.36
2026-01-08 01:18:38,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.2393,2.6666078445759225,717.06
2026-01-08 01:24:04,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.01,3,9,0.14326666666666665,3.2017746600698915,325.38
2026-01-08 01:26:16,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.005,20,20,0.2783333333333333,2.9630487798881937,1628.2
2026-01-08 01:36:01,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.2756,2.4665497313154505,717.23
2026-01-08 01:48:01,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.20663333333333334,2.8577228231632965,720.24
2026-01-08 01:52:50,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.01,2,8,0.12783333333333333,3.320916280340641,288.82
2026-01-08 01:53:47,LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128,Adam,0.01,20,20,0.15153333333333333,3.113875858819307,1627.74
2026-01-08 02:04:41,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.001,19,20,0.24616666666666667,2.6411481725408676,710.9
